X1,WT_ratio_1,WT_ratio_2,WT_ratio_3,rrp6_ratio_1,rrp6_ratio_2,rrp6_ratio_3,upf1_ratio_1,upf1_ratio_2,upf1_ratio_3,u_r_ratio_1,u_r_ratio_2,u_r_ratio_3,WT_vs_rrp6_pval,WT_vs_upf1_pval,WT_vs_u_r_pval
YNL004W_intron,0.043945313,0.042553191,0.038182392,0.040484539,0.045352203,0.043900684,0.172916971,0.155051994,0.170396108,0.174929972,0.169860627,0.169100564,0.597125446,0.002392363,8.76667E-05
YNL012W_intron,0.111111111,0.115987461,0.101156069,0.12716763,0.184684685,0.187192118,0.13059034,0.144434223,0.160762943,0.21875,0.228402367,0.194961665,0.113756934,0.098394838,0.002832755
YNL038W_intron,0.075528701,0.080363382,0.057675997,0.108405342,0.079699248,0.08340016,0.099376461,0.089541008,0.091913074,0.1088,0.110758057,0.106220906,0.198804809,0.090995156,0.021930853
YNL044W_intron,0.031767956,0.030748206,0.040545389,0.035688794,0.024430505,0.025741866,0.050749712,0.051419169,0.040316206,0.050371873,0.055790363,0.061192874,0.400538499,0.188985219,0.007763694
YNL050C_intron,0.026825633,0.042908224,0.025540275,0.029487179,0.03588907,0.025236593,0.056894889,0.055004509,0.071033938,0.088458298,0.084798345,0.08854668,0.641792739,0.093956805,0.014767182
YNL069C_intron,0.01093325,0.010520287,0.011010613,0.011382094,0.010350482,0.011360686,0.014214141,0.013947168,0.012786917,0.016678872,0.016291976,0.017039734,0.388530841,0.033081005,0.000239169
YNL096C_intron,0.012422907,0.012978343,0.012593967,0.017708008,0.014581539,0.016580274,0.031664892,0.031571124,0.029564077,0.040870772,0.04543236,0.043892278,0.078223184,0.001364893,0.001497063
YNL112W_intron,0.020842215,0.023402455,0.027839545,0.115475822,0.10993455,0.113432836,0.037538809,0.032653404,0.042428798,0.139731102,0.13001124,0.138005279,0.001039989,0.025852659,0.001061352
YNL130C_intron,0.0043181,0.013522885,0.008798646,0.00845666,0.007637349,0.010077519,0.01192457,0.011588468,0.013012182,0.015010142,0.01200098,0.020881671,0.963017245,0.359296867,0.242842468
YNL138W-A_intron,0.12826087,0.163481953,0.146808511,0.200607903,0.132846715,0.141353384,0.284474446,0.294240838,0.295433364,0.316858497,0.322193659,0.265998458,0.734203996,0.002689375,0.016301733
YNL147W_intron,0.039085989,0.052345343,0.033492823,0.057945042,0.050955414,0.047297297,0.080181543,0.069137168,0.081255771,0.122040816,0.119114878,0.122001654,0.228805664,0.064577061,0.006675634
YNL162W_intron,0.130749116,0.131408862,0.133423875,0.137782935,0.139615105,0.1383259,0.151120037,0.152649482,0.155291302,0.157929615,0.149257393,0.155021307,0.02012603,0.000420225,0.014577825
YNL246W_intron,0.035348837,0.029411765,0.02478551,0.043135192,0.032464338,0.036677454,0.074847251,0.073253389,0.069060085,0.079427449,0.094109682,0.078277271,0.097306921,0.001282802,0.011923758
YNL265C_intron,0.012789768,0.014455782,0.015961692,0.014264264,0.014694509,0.015793849,0.057522124,0.046104928,0.047687861,0.055482166,0.055686275,0.069465649,0.406408726,0.014249696,0.007063674
YNL301C_intron,0.058065142,0.057639524,0.063839336,0.137484528,0.13331497,0.137451021,0.069390104,0.06468039,0.066674112,0.162619427,0.150701683,0.143771489,0.000496752,0.102179803,0.005859284
YNL302C_intron,0.014964802,0.015936885,0.014829058,0.018940213,0.018663594,0.018971675,0.024740675,0.020831065,0.023286355,0.031285761,0.03041488,0.029112701,0.014929908,0.033958843,0.001860765
YNL312W_intron,0.015254918,0.010956903,0.012549301,0.011965812,0.020979021,0.015873016,0.031417941,0.026761118,0.020083365,0.032087912,0.048395313,0.043262059,0.474989059,0.042891317,0.042930682
YNR053C_intron,0.648734177,0.478709297,1.031593894,1.473607836,2.376476907,2.195596518,0.852006421,0.791691752,0.644454587,2.693305439,3.180747568,2.951605398,0.054859773,0.861371528,0.011708877
